open,high,low,close,volume,turnover,time
96729.4,96889.1,96470.0,96512.8,1410.337,136337164.4766,2025-01-03 06:00:00+00:00
96512.8,96611.9,96253.5,96283.3,2341.925,225766219.1166,2025-01-03 07:00:00+00:00
96283.3,96498.8,96062.1,96092.3,2421.772,233085269.7372,2025-01-03 08:00:00+00:00
96092.3,96688.0,96067.8,96518.1,2361.041,227737577.8788,2025-01-03 09:00:00+00:00
96518.1,96619.7,96372.1,96453.5,1285.598,124033386.7988,2025-01-03 10:00:00+00:00
96453.5,96810.7,96444.1,96715.4,1663.778,160833056.5423,2025-01-03 11:00:00+00:00
96715.4,96912.3,96630.0,96630.0,1907.867,184617285.1394,2025-01-03 12:00:00+00:00
96630.0,96818.8,96432.0,96470.7,1902.078,183710010.4093,2025-01-03 13:00:00+00:00
96470.7,97317.1,96470.7,96977.7,6079.019,589274118.7831,2025-01-03 14:00:00+00:00
96977.7,97631.5,96705.5,97491.8,6084.899,591865907.3149,2025-01-03 15:00:00+00:00
97491.8,98400.0,97360.2,97828.8,7957.242,779683811.6975,2025-01-03 16:00:00+00:00
97828.8,98265.2,97788.9,97983.6,2400.119,235293369.3561,2025-01-03 17:00:00+00:00
97983.6,98664.3,97955.0,98495.5,3206.627,315492203.1091,2025-01-03 18:00:00+00:00
98495.5,98950.0,98456.9,98555.2,3850.534,380125135.675,2025-01-03 19:00:00+00:00
98555.2,98709.0,98234.8,98252.7,2895.827,285046181.6846,2025-01-03 20:00:00+00:00
98252.7,98380.1,98131.4,98208.7,1797.438,176562844.9875,2025-01-03 21:00:00+00:00
98208.7,98493.8,98183.4,98260.1,1198.751,117875899.4301,2025-01-03 22:00:00+00:00
98260.1,98345.2,98016.9,98140.0,1220.788,119809229.4044,2025-01-03 23:00:00+00:00
98140.0,98251.8,97850.6,97910.2,1471.944,144278236.5167,2025-01-04 00:00:00+00:00
97910.2,98073.2,97750.0,97986.3,1245.718,121983976.8605,2025-01-04 01:00:00+00:00
97986.3,98275.2,97807.3,98262.2,1147.582,112519998.6704,2025-01-04 02:00:00+00:00
98262.2,98262.2,97993.4,98144.1,778.069,76357823.6116,2025-01-04 03:00:00+00:00
98144.1,98151.1,97832.8,97968.8,1034.297,101290640.1744,2025-01-04 04:00:00+00:00
97968.8,98150.0,97948.2,98081.6,1003.506,98401556.665,2025-01-04 05:00:00+00:00
98081.6,98212.7,98001.0,98091.6,593.419,58193869.7079,2025-01-04 06:00:00+00:00
98091.6,98298.6,98060.0,98235.0,900.002,88375059.9465,2025-01-04 07:00:00+00:00
98235.0,98268.2,97870.1,97877.7,1160.326,113806327.1601,2025-01-04 08:00:00+00:00
97877.7,97964.2,97502.1,97661.3,2141.543,209350988.0941,2025-01-04 09:00:00+00:00
97661.3,97829.0,97561.2,97745.9,1082.801,105795098.4824,2025-01-04 10:00:00+00:00
97745.9,97890.0,97661.8,97848.4,731.627,71535726.8311,2025-01-04 11:00:00+00:00
97848.4,97982.3,97750.1,97842.7,1330.519,130207602.3665,2025-01-04 12:00:00+00:00
97842.7,98029.7,97704.1,97929.9,1514.654,148215196.4548,2025-01-04 13:00:00+00:00
97929.9,98039.8,97784.0,97995.0,978.383,95812915.0674,2025-01-04 14:00:00+00:00
97995.0,98122.7,97442.8,97617.4,2741.601,267873437.4037,2025-01-04 15:00:00+00:00
97617.4,97821.4,97527.7,97676.7,1472.865,143851101.2308,2025-01-04 16:00:00+00:00
97676.7,98011.0,97640.7,97973.2,1040.566,101797581.893,2025-01-04 17:00:00+00:00
97973.2,98117.9,97854.6,97925.1,1035.92,101515384.3496,2025-01-04 18:00:00+00:00
97925.1,98380.7,97888.0,98129.3,1881.375,184702175.1423,2025-01-04 19:00:00+00:00
98129.3,98650.0,98129.2,98571.9,2165.245,213119889.1092,2025-01-04 20:00:00+00:00
98571.9,98759.6,98291.2,98336.3,1967.229,193787221.8188,2025-01-04 21:00:00+00:00
98336.3,98466.1,98229.8,98367.5,805.712,79232789.7745,2025-01-04 22:00:00+00:00
98367.5,98395.6,98105.0,98177.2,806.374,79201429.6401,2025-01-04 23:00:00+00:00
98177.2,98370.0,98106.2,98175.9,818.687,80415241.1403,2025-01-05 00:00:00+00:00
98175.9,98287.0,98011.0,98098.5,773.978,75938238.3976,2025-01-05 01:00:00+00:00
98098.5,98215.2,98060.4,98209.4,478.191,46926896.2384,2025-01-05 02:00:00+00:00
98209.4,98209.4,98033.0,98161.7,434.565,42637875.8696,2025-01-05 03:00:00+00:00
98161.7,98516.0,98161.7,98332.4,1411.838,138857130.9034,2025-01-05 04:00:00+00:00
98332.4,98475.0,98235.0,98311.4,581.239,57149152.4971,2025-01-05 05:00:00+00:00
98311.4,98467.0,98256.9,98419.4,547.01,53805979.5184,2025-01-05 06:00:00+00:00
98419.4,98446.4,98227.3,98227.4,577.667,56789989.6841,2025-01-05 07:00:00+00:00
98227.4,98227.4,97727.7,97814.5,3307.693,323797668.4384,2025-01-05 08:00:00+00:00
97814.5,97902.3,97573.9,97616.4,2087.895,204084592.1875,2025-01-05 09:00:00+00:00
97616.4,97735.3,97543.0,97690.0,1618.759,158060792.6589,2025-01-05 10:00:00+00:00
97690.0,97801.0,97574.3,97607.6,1089.602,106413540.9491,2025-01-05 11:00:00+00:00
97607.6,97918.0,97513.8,97720.0,1844.32,180225690.7861,2025-01-05 12:00:00+00:00
97720.0,97980.0,97606.8,97662.9,1460.956,142897727.7113,2025-01-05 13:00:00+00:00
97662.9,97947.3,97216.0,97810.0,5490.26,535397206.1758,2025-01-05 14:00:00+00:00
97810.0,98245.7,97673.2,97990.1,3278.752,321282797.7003,2025-01-05 15:00:00+00:00
97990.1,98308.6,97887.1,97996.3,1633.796,160238595.7829,2025-01-05 16:00:00+00:00
97996.3,98049.8,97600.1,97700.0,1698.399,166171854.6302,2025-01-05 17:00:00+00:00
97700.0,97898.5,97536.7,97872.0,1359.549,132816987.0402,2025-01-05 18:00:00+00:00
97872.0,98100.0,97808.4,98049.2,1117.702,109517244.9428,2025-01-05 19:00:00+00:00
98049.2,98651.9,97977.5,98237.4,3381.415,332691816.7843,2025-01-05 20:00:00+00:00
98237.4,98499.9,98180.4,98472.0,956.782,94105470.0619,2025-01-05 21:00:00+00:00
98472.0,98798.0,98303.6,98656.2,1508.183,148648012.6473,2025-01-05 22:00:00+00:00
98656.2,98828.5,98271.2,98340.5,1987.893,195839406.975,2025-01-05 23:00:00+00:00
98340.5,98755.6,98146.5,98183.9,2413.3,237501048.6164,2025-01-06 00:00:00+00:00
98183.9,98790.6,97861.0,98716.6,3172.766,311793885.7422,2025-01-06 01:00:00+00:00
98716.6,99282.2,98606.8,98780.0,6631.723,656087021.7218,2025-01-06 02:00:00+00:00
98780.0,99222.7,98710.0,99001.7,2125.208,210484256.5412,2025-01-06 03:00:00+00:00
99001.7,99473.5,99001.7,99429.5,2886.557,286598663.4759,2025-01-06 04:00:00+00:00
99429.5,99877.7,99364.9,99580.0,4806.417,478940641.4333,2025-01-06 05:00:00+00:00
99580.0,99771.0,99400.0,99468.2,2877.561,286453488.804,2025-01-06 06:00:00+00:00
99468.2,99508.2,99115.0,99275.0,2488.339,247071458.042,2025-01-06 07:00:00+00:00
99275.0,99608.1,98949.1,99017.4,3018.525,299519541.7072,2025-01-06 08:00:00+00:00
99017.4,99225.1,98920.5,98979.1,1287.847,127580752.873,2025-01-06 09:00:00+00:00
98979.1,99049.9,98679.2,98742.6,2820.612,278735560.1467,2025-01-06 10:00:00+00:00
98742.6,99400.0,98683.4,99238.8,3264.082,323539434.0359,2025-01-06 11:00:00+00:00
99238.8,99700.0,99100.1,99120.0,3009.585,299160756.1287,2025-01-06 12:00:00+00:00
99120.0,99538.5,98862.1,99460.3,3721.421,369106473.5262,2025-01-06 13:00:00+00:00
99460.3,101281.0,98612.2,100692.4,18631.53,1863590202.0229,2025-01-06 14:00:00+00:00
100692.4,102471.7,100428.1,102117.4,17532.823,1780721993.3433,2025-01-06 15:00:00+00:00
102117.4,102459.4,101697.3,102132.7,8932.625,912454757.6455,2025-01-06 16:00:00+00:00
102132.7,102141.7,101210.0,101788.0,5846.338,594288229.4413,2025-01-06 17:00:00+00:00
101788.0,102020.0,101523.4,101702.4,2307.703,234987720.1891,2025-01-06 18:00:00+00:00
101702.4,101996.0,101585.8,101761.6,1550.336,157836681.5481,2025-01-06 19:00:00+00:00
101761.6,102291.7,101736.8,102056.1,3331.621,339910275.3646,2025-01-06 20:00:00+00:00
102056.1,102276.5,101515.0,101545.7,2030.827,206912600.6064,2025-01-06 21:00:00+00:00
101545.7,102041.8,101535.4,101956.4,1362.863,138705743.983,2025-01-06 22:00:00+00:00
101956.4,102198.9,101850.0,102185.9,1185.079,120941348.3413,2025-01-06 23:00:00+00:00
102185.9,102702.1,101891.2,101996.9,4168.316,426325019.4161,2025-01-07 00:00:00+00:00
101996.9,102027.1,101649.6,101869.3,1874.591,190900199.7341,2025-01-07 01:00:00+00:00
101869.3,101979.4,101590.9,101623.3,1173.704,119466414.4573,2025-01-07 02:00:00+00:00
101623.3,101780.1,101454.1,101650.9,1908.844,194009033.9882,2025-01-07 03:00:00+00:00
101650.9,101883.8,101615.0,101615.1,944.344,96101178.1368,2025-01-07 04:00:00+00:00
101615.1,101733.4,101524.7,101686.9,1037.101,105398944.9303,2025-01-07 05:00:00+00:00
101686.9,101850.0,101580.1,101760.0,956.959,97353382.6679,2025-01-07 06:00:00+00:00
101760.0,101975.0,101604.1,101646.2,1300.764,132398885.6087,2025-01-07 07:00:00+00:00
101646.2,101966.0,101578.6,101872.0,1349.815,137382090.3885,2025-01-07 08:00:00+00:00
101872.0,101895.4,101596.5,101667.1,1200.567,122111573.6753,2025-01-07 09:00:00+00:00
101667.1,101667.1,101333.3,101358.6,2512.91,254970795.2688,2025-01-07 10:00:00+00:00
101358.6,101426.3,100441.0,100796.4,7231.904,729438458.6951,2025-01-07 11:00:00+00:00
100796.4,100923.9,100567.6,100719.5,2663.674,268420599.4345,2025-01-07 12:00:00+00:00
100719.5,100955.5,100575.9,100606.0,2902.668,292416252.5462,2025-01-07 13:00:00+00:00
100606.0,100827.2,99709.0,99938.6,13846.453,1389301056.5045,2025-01-07 14:00:00+00:00
99938.6,100165.2,97088.0,97905.1,41252.163,4060688338.3213,2025-01-07 15:00:00+00:00
97905.1,98329.8,97558.2,97695.3,9886.393,968011836.9451,2025-01-07 16:00:00+00:00
97695.3,97772.4,96500.0,97242.4,13671.76,1328133010.8693,2025-01-07 17:00:00+00:00
97242.4,97514.2,96568.3,96720.5,6048.358,586869095.1197,2025-01-07 18:00:00+00:00
96720.5,97157.5,96159.2,96415.7,7229.891,698696644.8527,2025-01-07 19:00:00+00:00
96415.7,96850.0,96113.4,96494.5,8008.508,772212459.9092,2025-01-07 20:00:00+00:00
96494.5,97051.7,96350.0,96461.3,4842.182,468281369.7731,2025-01-07 21:00:00+00:00
96461.3,97188.8,96355.8,97127.4,2534.229,245589890.5398,2025-01-07 22:00:00+00:00
97127.4,97155.0,96750.0,96908.1,2114.728,204997765.6967,2025-01-07 23:00:00+00:00
96908.1,97224.3,96623.7,97208.7,2713.961,263069847.2981,2025-01-08 00:00:00+00:00
97208.7,97209.6,96559.8,96853.1,2454.519,237677120.9649,2025-01-08 01:00:00+00:00
96853.1,97133.6,96719.8,96808.8,2126.223,206162507.3808,2025-01-08 02:00:00+00:00
96808.8,96809.7,96165.4,96487.5,5342.281,515341797.1206,2025-01-08 03:00:00+00:00
96487.5,96599.4,95830.1,96231.3,5876.29,565584881.7731,2025-01-08 04:00:00+00:00
96231.3,96623.5,96016.3,96445.9,2916.59,281066676.9249,2025-01-08 05:00:00+00:00
96445.9,96599.4,95209.0,95239.2,8022.009,767541229.9454,2025-01-08 06:00:00+00:00
95239.2,95794.0,95202.3,95608.9,4691.751,447997389.4738,2025-01-08 07:00:00+00:00
95608.9,96095.9,95475.5,95894.5,3562.61,341394613.0056,2025-01-08 08:00:00+00:00
95894.5,96061.0,95363.6,95383.5,3477.916,332984354.9761,2025-01-08 09:00:00+00:00
95383.5,95968.9,95383.4,95911.2,3271.509,312936563.1374,2025-01-08 10:00:00+00:00
95911.2,96012.8,94458.0,95101.8,11521.298,1094957508.7327,2025-01-08 11:00:00+00:00
95101.8,95332.5,94800.0,94842.1,5462.581,519314660.4921,2025-01-08 12:00:00+00:00
94842.1,95642.3,94842.1,95348.0,5983.553,570437321.7123,2025-01-08 13:00:00+00:00
95348.0,95837.8,94820.4,95251.0,9490.574,904146465.3244,2025-01-08 14:00:00+00:00
95251.0,96037.9,94571.0,95455.3,13831.404,1316818340.6978,2025-01-08 15:00:00+00:00
95455.3,95457.8,94503.7,94754.7,5768.086,547485354.4094,2025-01-08 16:00:00+00:00
94754.7,94819.0,92378.5,93957.6,28516.724,2667771064.7839,2025-01-08 17:00:00+00:00
93957.6,95082.1,93705.0,94195.7,10487.455,989615565.0458,2025-01-08 18:00:00+00:00
94195.7,94817.3,94008.8,94211.6,6798.048,641665166.7701,2025-01-08 19:00:00+00:00
94211.6,94384.9,93703.1,93947.4,4557.249,428381387.7404,2025-01-08 20:00:00+00:00
93947.4,94550.0,93530.5,94408.4,3952.488,371939727.5486,2025-01-08 21:00:00+00:00
94408.4,95254.5,94401.2,95247.5,3973.451,376851852.8854,2025-01-08 22:00:00+00:00
95247.5,95251.9,94850.0,95022.2,1536.526,145990517.993,2025-01-08 23:00:00+00:00
95022.2,95140.2,94760.0,95110.9,1778.001,168808007.3816,2025-01-09 00:00:00+00:00
95110.9,95356.6,94931.1,94946.9,1935.142,184086615.0713,2025-01-09 01:00:00+00:00
94946.9,94999.3,93374.9,94732.5,14580.863,1372899616.1159,2025-01-09 02:00:00+00:00
94732.5,94758.2,93955.6,93966.1,3530.596,332741862.7636,2025-01-09 03:00:00+00:00
93966.1,94450.0,93736.0,94370.2,3040.266,286005525.9676,2025-01-09 04:00:00+00:00
94370.2,94540.3,94225.0,94438.7,1660.184,156697376.8531,2025-01-09 05:00:00+00:00
94438.7,94588.6,94001.0,94052.3,1813.133,170971263.085,2025-01-09 06:00:00+00:00
94052.3,94264.7,93089.4,93175.6,5075.48,474934650.8119,2025-01-09 07:00:00+00:00
93175.6,93360.0,92705.0,92979.5,7271.242,676275395.19,2025-01-09 08:00:00+00:00
92979.5,93694.1,92916.0,93464.6,2829.436,264244859.7368,2025-01-09 09:00:00+00:00
93464.6,93623.1,92980.1,93416.0,2673.379,249351147.6681,2025-01-09 10:00:00+00:00
93416.0,93827.2,93150.0,93410.1,3226.832,301713153.185,2025-01-09 11:00:00+00:00
93410.1,93648.3,93103.0,93369.0,2985.39,278849408.995,2025-01-09 12:00:00+00:00
93369.0,93450.7,91825.0,91933.7,11600.575,1072225542.4656,2025-01-09 13:00:00+00:00
91933.7,92868.0,91738.0,92815.1,9734.024,898277256.7601,2025-01-09 14:00:00+00:00
92815.1,94555.0,92637.2,94210.8,11830.334,1107560001.7322,2025-01-09 15:00:00+00:00
94210.8,94666.0,93806.6,94219.0,6302.303,593702028.0622,2025-01-09 16:00:00+00:00
94219.0,94259.7,92262.6,92635.6,8838.853,822718761.6598,2025-01-09 17:00:00+00:00
92635.6,93198.5,92334.3,92976.1,5189.437,481458457.7608,2025-01-09 18:00:00+00:00
92976.1,93246.0,91850.0,91859.5,5880.459,543864080.4004,2025-01-09 19:00:00+00:00
91859.5,92329.0,91151.0,91866.4,13085.16,1199165299.2881,2025-01-09 20:00:00+00:00
91866.4,92484.4,91754.0,92062.3,4764.129,438903094.7989,2025-01-09 21:00:00+00:00
92062.3,92699.2,91591.0,92419.2,3793.553,349816150.9955,2025-01-09 22:00:00+00:00
92419.2,92679.5,92000.2,92507.7,3290.995,304017579.0434,2025-01-09 23:00:00+00:00
92507.7,92814.8,92406.6,92724.7,3092.272,286362040.0453,2025-01-10 00:00:00+00:00
92724.7,93122.0,92536.8,93067.9,2246.545,208638669.2498,2025-01-10 01:00:00+00:00
93067.9,93654.6,92982.0,93324.7,3116.784,290879622.8535,2025-01-10 02:00:00+00:00
93324.7,93687.8,93270.6,93655.9,1527.503,142820218.8569,2025-01-10 03:00:00+00:00
93655.9,93870.0,93457.9,93800.0,2737.193,256366931.7489,2025-01-10 04:00:00+00:00
93800.0,94206.9,93599.8,93920.7,3382.395,317566134.7753,2025-01-10 05:00:00+00:00
93920.7,94282.2,93684.3,94197.8,3030.796,284844006.591,2025-01-10 06:00:00+00:00
94197.8,94948.4,94027.1,94457.1,4817.084,455422618.7632,2025-01-10 07:00:00+00:00
94457.1,94728.4,94342.1,94623.5,2694.877,254835410.7569,2025-01-10 08:00:00+00:00
94623.5,94937.4,94524.0,94738.5,2648.55,251062841.7341,2025-01-10 09:00:00+00:00
94738.5,95233.0,94699.6,95158.1,2924.639,277654168.5773,2025-01-10 10:00:00+00:00
95158.1,95204.0,94566.8,95019.8,3803.069,360714738.7609,2025-01-10 11:00:00+00:00
95019.8,95079.9,94666.0,94989.5,2894.808,274610646.9423,2025-01-10 12:00:00+00:00
94989.5,94989.5,92700.0,93513.6,23584.13,2207264349.8636,2025-01-10 13:00:00+00:00
93513.6,94697.9,93370.5,94083.5,16157.782,1519800673.2328,2025-01-10 14:00:00+00:00
94083.5,94508.9,92161.2,93695.9,21464.255,2002903458.7294,2025-01-10 15:00:00+00:00
93695.9,94009.0,93153.9,93620.6,8693.856,813743257.8802,2025-01-10 16:00:00+00:00
93620.6,95873.6,93290.1,95767.1,10031.584,950585302.9518,2025-01-10 17:00:00+00:00
95767.1,95767.1,94527.9,94808.4,8887.735,845867079.7384,2025-01-10 18:00:00+00:00
94808.4,95356.8,94355.2,95275.4,3885.396,368698368.4399,2025-01-10 19:00:00+00:00
95275.4,95416.6,94534.1,94620.7,4396.183,416990727.3733,2025-01-10 20:00:00+00:00
94620.7,94901.9,94544.4,94571.3,1655.948,156838419.8147,2025-01-10 21:00:00+00:00
94571.3,94955.0,94540.1,94728.8,1411.468,133646497.1038,2025-01-10 22:00:00+00:00
94728.8,94867.9,94606.0,94684.2,964.913,91419117.4119,2025-01-10 23:00:00+00:00
94684.2,94709.7,94267.6,94560.8,2476.533,233944773.0143,2025-01-11 00:00:00+00:00
94560.8,94667.2,94176.9,94389.9,1254.326,118423550.08,2025-01-11 01:00:00+00:00
94389.9,94464.0,94131.9,94372.5,1172.408,110514717.9431,2025-01-11 02:00:00+00:00
94372.5,94397.9,94054.9,94163.1,1133.161,106717440.2297,2025-01-11 03:00:00+00:00
